Good,Material,value
Building and Construction,Other,0.005
Building and Construction,PE,0.044
Building and Construction,PET,0.0
Building and Construction,PP,0.012
Building and Construction,PS,0.022
Building and Construction,PUR,0.024
Building and Construction,PVC,0.081
Other Uses,Other,0.019000000000000003
Other Uses,PE,0.075
Other Uses,PET,0.0
Other Uses,PP,0.082
Other Uses,PS,0.024999999999999998
Other Uses,PUR,0.038000000000000006
Other Uses,PVC,0.02
Packaging,Other,0.001
Packaging,PE,0.228
Packaging,PET,0.101
Packaging,PP,0.082
Packaging,PS,0.023
Packaging,PUR,0.002
Packaging,PVC,0.009
Transportation,Other,0.014
Transportation,PE,0.009000000000000001
Transportation,PET,0.0
Transportation,PP,0.026
Transportation,PS,0.0
Transportation,PUR,0.016
Transportation,PVC,0.003
