Time,Good,value
1990,Plastic Waste,2.076884392
1991,Plastic Waste,2.520588909
1992,Plastic Waste,2.964293427
1993,Plastic Waste,3.407997944
1994,Plastic Waste,3.851702462
1995,Plastic Waste,4.295406979
1996,Plastic Waste,4.739111497
1997,Plastic Waste,5.182816014
1998,Plastic Waste,5.626520531
1999,Plastic Waste,6.070225049
2000,Plastic Waste,6.513929566
2001,Plastic Waste,6.957634084
2002,Plastic Waste,7.401338601
2003,Plastic Waste,7.845043119
2004,Plastic Waste,8.288747636
2005,Plastic Waste,7.691911
2006,Plastic Waste,8.848528
2007,Plastic Waste,10.099032
2008,Plastic Waste,9.957247
2009,Plastic Waste,10.609231
2010,Plastic Waste,11.650116
2011,Plastic Waste,12.38313
2012,Plastic Waste,12.655602
2013,Plastic Waste,12.209763
2014,Plastic Waste,12.374098
2015,Plastic Waste,12.230415
2016,Plastic Waste,13.364851
2017,Plastic Waste,10.902807
2018,Plastic Waste,6.892982
2019,Plastic Waste,5.308249
2020,Plastic Waste,5.772683
2021,Plastic Waste,6.692848
2022,Plastic Waste,7.022417
2023,Plastic Waste,7.022417
2024,Plastic Waste,6.019214571
2025,Plastic Waste,5.016012143
2026,Plastic Waste,4.012809714
2027,Plastic Waste,3.009607286
2028,Plastic Waste,2.006404857
2029,Plastic Waste,1.003202429
2030,Plastic Waste,0
2031,Plastic Waste,0
2032,Plastic Waste,0
2033,Plastic Waste,0
2034,Plastic Waste,0
2035,Plastic Waste,0
2036,Plastic Waste,0
2037,Plastic Waste,0
2038,Plastic Waste,0
2039,Plastic Waste,0
2040,Plastic Waste,0
2041,Plastic Waste,0
2042,Plastic Waste,0
2043,Plastic Waste,0
2044,Plastic Waste,0
2045,Plastic Waste,0
2046,Plastic Waste,0
2047,Plastic Waste,0
2048,Plastic Waste,0
2049,Plastic Waste,0
2050,Plastic Waste,0
2051,Plastic Waste,0
2052,Plastic Waste,0
2053,Plastic Waste,0
2054,Plastic Waste,0
2055,Plastic Waste,0
2056,Plastic Waste,0
2057,Plastic Waste,0
2058,Plastic Waste,0
2059,Plastic Waste,0
2060,Plastic Waste,0
2061,Plastic Waste,0
2062,Plastic Waste,0
2063,Plastic Waste,0
2064,Plastic Waste,0
2065,Plastic Waste,0
2066,Plastic Waste,0
2067,Plastic Waste,0
2068,Plastic Waste,0
2069,Plastic Waste,0
2070,Plastic Waste,0
2071,Plastic Waste,0
2072,Plastic Waste,0
2073,Plastic Waste,0
2074,Plastic Waste,0
2075,Plastic Waste,0
2076,Plastic Waste,0
2077,Plastic Waste,0
2078,Plastic Waste,0
2079,Plastic Waste,0
2080,Plastic Waste,0
2081,Plastic Waste,0
2082,Plastic Waste,0
2083,Plastic Waste,0
2084,Plastic Waste,0
2085,Plastic Waste,0
2086,Plastic Waste,0
2087,Plastic Waste,0
2088,Plastic Waste,0
2089,Plastic Waste,0
2090,Plastic Waste,0
2091,Plastic Waste,0
2092,Plastic Waste,0
2093,Plastic Waste,0
2094,Plastic Waste,0
2095,Plastic Waste,0
2096,Plastic Waste,0
2097,Plastic Waste,0
2098,Plastic Waste,0
2099,Plastic Waste,0
2100,Plastic Waste,0
